108,BRNA,Berlina Tbk.,979.110.000,Pemantauan Khusus
109,BRPT,Barito Pacific Tbk.,93.747.218.044,Utama
110,BSDE,Bumi Serpong Damai Tbk.,21.171.365.812,Utama
111,BSIM,Bank Sinarmas Tbk.,19.517.921.842,Utama
112,BSSR,Baramulti Suksessarana Tbk.,2.616.500.000,Pengembangan
113,BSWD,Bank Of India Indonesia Tbk.,3.651.978.177,Pemantauan Khusus
114,BTEK,Bumi Teknokultura Unggul Tbk,46.277.496.376,Pemantauan Khusus
115,BTEL,Bakrie Telecom Tbk.,36.822.665.755,Pemantauan Khusus
116,BTON,Betonjaya Manunggal Tbk.,720.000.000,Pengembangan
117,BTPN,Bank SMBC Indonesia Tbk.,10.536.203.690,Utama
118,BUDI,Budi Starch & Sweetener Tbk.,4.498.997.362,Utama
119,BUKK,Bukaka Teknik Utama Tbk.,2.640.452.000,Pengembangan
120,BULL,Buana Lintas Lautan Tbk.,14.117.801.449,Pengembangan
121,BUMI,Bumi Resources Tbk.,371.322.136.553,Utama
122,BUVA,Bukit Uluwatu Villa Tbk.,20.590.473.213,Pengembangan
123,BVIC,Bank Victoria International Tb,15.690.050.343,Utama
124,BWPT,Eagle High Plantations Tbk.,31.525.291.000,Utama
125,BYAN,Bayan Resources Tbk.,33.333.335.000,Utama
126,CANI,Capitol Nusantara Indonesia Tb,833.440.000,Pemantauan Khusus
127,CASS,Cardig Aero Services Tbk.,2.086.950.000,Utama
128,CEKA,Wilmar Cahaya Indonesia Tbk.,595.000.000,Pengembangan
129,CENT,Centratama Telekomunikasi Indo,31.183.464.900,Pemantauan Khusus
130,CFIN,Clipan Finance Indonesia Tbk.,3.984.520.457,Utama
131,CINT,Chitose Internasional Tbk.,1.000.000.000,Pengembangan
132,CITA,Cita Mineral Investindo Tbk.,3.960.361.250,Pengembangan
133,CLPI,Colorpak Indonesia Tbk.,306.338.500,Pengembangan
134,CMNP,Citra Marga Nusaphala Persada ,5.437.498.079,Utama
135,CMPP,AirAsia Indonesia Tbk.,10.685.124.441,Pemantauan Khusus
136,CNKO,Exploitasi Energi Indonesia Tb,8.956.361.206,Pemantauan Khusus
137,CNTX,Century Textile Industry Tbk.,70.000.000,Pemantauan Khusus
